prev,b_int,cmi,auc_corrected_bias,auc_uncorrected_bias
-4,0.2,0.8,0.085241034360179,0.16497187593457782
-2.5,0.2,0.8,0.07987388477176627,0.16665730515038782
-6,0.30000000000000004,0.8,0.04471126130018527,0.1732966355937209
-4,0.30000000000000004,0.8,0.08567081199915595,0.16498106415752037
-2.5,0.30000000000000004,0.8,0.08006722697072256,0.16413318806938076
-6,0.4,0.8,0.04272685597287199,0.1702959645410962
-4,0.4,0.8,0.08409204443475721,0.16223338146573316
-2.5,0.4,0.8,0.08023281916925025,0.1592976836651075
-6,0.5,0.8,0.04318030906938791,0.17091621055193268
-4,0.5,0.8,0.08744213544009993,0.1617971246748042
-2.5,0.5,0.8,0.08195325936987168,0.15481989223112458
-6,0.6,0.8,0.04485785665563372,0.17165237818680873
-4,0.6,0.8,0.08879236326909887,0.15932656551756536
-2.5,0.6,0.8,0.08050401077769978,0.14930569471998997
-6,0.7000000000000001,0.8,0.044796828187682054,0.17171056171772384
-4,0.7000000000000001,0.8,0.0915106776004171,0.15633495300676536
-2.5,0.7000000000000001,0.8,0.07995796250232402,0.1437911221926985
-6,0.8,0.8,0.048286223662733316,0.17186430148923243
-4,0.8,0.8,0.09356251957150663,0.1520938306615936
-2.5,0.8,0.8,0.07994914563484862,0.13923806616693166
-6,0.9,0.8,0.046252216273555524,0.1697212878288092
-4,0.9,0.8,0.09352963518807256,0.14864123373508398
-2.5,0.9,0.8,0.0801244132991453,0.1360517454758196
-6,0.1,0.9,0.02336481759225395,0.0930932308723002
-4,0.1,0.9,0.044485972138215306,0.09222255471951742
-2.5,0.1,0.9,0.04051779407627344,0.09137374673363405
-6,0.2,0.9,0.02250279025073725,0.09323172049236973
-4,0.2,0.9,0.044694350321201164,0.09144500594967479
-2.5,0.2,0.9,0.039557957323636594,0.0903879132641399
-6,0.30000000000000004,0.9,0.022111415041881584,0.09318007203398444
-4,0.30000000000000004,0.9,0.04502346373318153,0.09165908322919115
-2.5,0.30000000000000004,0.9,0.03899475161261869,0.08819817042403079
-6,0.4,0.9,0.023740962656024364,0.09418071380948576
-4,0.4,0.9,0.04495319259557624,0.0909882232281255
-2.5,0.4,0.9,0.03957498688139821,0.08745034947339426
-6,0.5,0.9,0.023287650745563562,0.09390123464469032
-4,0.5,0.9,0.04586077775100815,0.09125508483061996
-2.5,0.5,0.9,0.039454189355448206,0.08630460799234992
-6,0.6,0.9,0.02506223808915973,0.09399818019144274
-4,0.6,0.9,0.046303992449644955,0.09074587236328475
-2.5,0.6,0.9,0.0396012027026062,0.0853468403968235
-6,0.7000000000000001,0.9,0.023575872052155843,0.0939915449472151
-4,0.7000000000000001,0.9,0.04634119877011614,0.08991599557883352
-2.5,0.7000000000000001,0.9,0.039032179672529345,0.08352055916463538
-6,0.8,0.9,0.023222555679490896,0.09372701643435825
-4,0.8,0.9,0.04655821517356402,0.08778193827891984
-2.5,0.8,0.9,0.03863399013892566,0.08176531832504354
-6,0.9,0.9,0.025223034561109983,0.09160299882583806
-4,0.9,0.9,0.04627789560695099,0.08613854995867444
-2.5,0.9,0.9,0.03862832500781247,0.08009771746828573
