"","prev","b_int","cmi","auc","auc_uncorrected","auc_diff"
"154",-4,0.1,0.9,0.772145617748125,0.730236171005164,0.0419094467429614
"155",-4,0.2,0.9,0.771449059147688,0.729958195595818,0.0414908635518704
"156",-4,0.3,0.9,0.771700735636195,0.730577635258728,0.0411231003774669
"157",-4,0.4,0.9,0.772199027743694,0.731476946088893,0.0407220816548008
"158",-4,0.5,0.9,0.771314175780855,0.732179520985949,0.0391346547949057
"159",-4,0.6,0.9,0.771501896109482,0.732987237033482,0.0385146590759993
"160",-4,0.7,0.9,0.772393343244884,0.735244686574671,0.0371486566702132
"161",-4,0.8,0.9,0.77210760447502,0.736672302435476,0.0354353020395439
"162",-4,0.9,0.9,0.772960761562148,0.739105176340427,0.0338555852217215
"163",-2.5,0.1,0.1,0.647734898316596,0.624644727105741,0.0230901712108553
"164",-2.5,0.2,0.1,0.660671466416041,0.645327203617727,0.0153442627983144
"165",-2.5,0.3,0.1,0.672601600857141,0.667520124895089,0.00508147596205233
"166",-2.5,0.4,0.1,0.687373013553964,0.689433107147458,-0.00206009359349368
"167",-2.5,0.5,0.1,0.700342531935255,0.709083379622922,-0.00874084768766736
"168",-2.5,0.6,0.1,0.713672930484519,0.729222494084736,-0.0155495636002169
"169",-2.5,0.7,0.1,0.725446011739054,0.745044656883192,-0.0195986451441381
"170",-2.5,0.8,0.1,0.73495744135835,0.758844697178128,-0.0238872558197782
"171",-2.5,0.9,0.1,0.742871715457467,0.769129115929131,-0.0262574004716645
"172",-2.5,0.1,0.2,0.623698173876449,0.566678729977607,0.057019443898842
"173",-2.5,0.2,0.2,0.634005683671092,0.590874123444914,0.0431315602261783
"174",-2.5,0.3,0.2,0.644856719818934,0.618099374032538,0.0267573457863968
"175",-2.5,0.4,0.2,0.658437793641648,0.646814681282056,0.0116231123595921
"176",-2.5,0.5,0.2,0.67035357342862,0.672253528824686,-0.00189995539606636
"177",-2.5,0.6,0.2,0.681513631146649,0.695733892074202,-0.0142202609275526
"178",-2.5,0.7,0.2,0.691817032410675,0.715234326576373,-0.0234172941656985
"179",-2.5,0.8,0.2,0.699329194298355,0.731446170797108,-0.0321169764987534
"180",-2.5,0.9,0.2,0.705063777271909,0.744195619714631,-0.0391318424427222
"181",-2.5,0.1,0.3,0.612018054182161,0.518248902448066,0.0937691517340952
"182",-2.5,0.2,0.3,0.620046440161794,0.544212297382118,0.0758341427796754
"183",-2.5,0.3,0.3,0.630130764776457,0.57325345332955,0.0568773114469068
"184",-2.5,0.4,0.3,0.639379252574104,0.603064831566672,0.0363144210074321
"185",-2.5,0.5,0.3,0.650374586573418,0.634539896053665,0.0158346905197531
"186",-2.5,0.6,0.3,0.659989528381489,0.660182031679776,-0.00019250329828735
"187",-2.5,0.7,0.3,0.666853440134692,0.682442710623952,-0.01558927048926
"188",-2.5,0.8,0.3,0.674423150585579,0.703083543503167,-0.0286603929175878
"189",-2.5,0.9,0.3,0.678028351128373,0.71768621528231,-0.0396578641539361
"190",-2.5,0.1,0.4,0.613902071203165,0.509240505797473,0.104661565405692
"191",-2.5,0.2,0.4,0.61859924601371,0.486836889711106,0.131762356302604
"192",-2.5,0.3,0.4,0.626334181354076,0.538547962774335,0.0877862185797407
"193",-2.5,0.4,0.4,0.634023338126811,0.570760350535395,0.0632629875914168
"194",-2.5,0.5,0.4,0.640581157349522,0.60040551279037,0.0401756445591516
"195",-2.5,0.6,0.4,0.649379128842355,0.629607516686746,0.0197716121556093
"196",-2.5,0.7,0.4,0.654569495891724,0.654187082740391,0.000382413151333694
"197",-2.5,0.8,0.4,0.659546627976972,0.675592932656315,-0.0160463046793434
"198",-2.5,0.9,0.4,0.661892576327842,0.692004899188081,-0.0301123228602389
"199",-2.5,0.1,0.5,0.626389713775792,0.507577885572895,0.118811828202897
"200",-2.5,0.2,0.5,0.628845200951708,0.489136856521322,0.139708344430386
"201",-2.5,0.3,0.5,0.634150110641574,0.467191058335397,0.166959052306177
"202",-2.5,0.4,0.5,0.639723308309692,0.440458651181287,0.199264657128405
"203",-2.5,0.5,0.5,0.645354327458595,0.586916514169107,0.058437813289488
"204",-2.5,0.6,0.5,0.650230033063007,0.613023294914261,0.037206738148746
"205",-2.5,0.7,0.5,0.653602680554639,0.637066102290426,0.0165365782642131
"206",-2.5,0.8,0.5,0.656842893596956,0.658755580010936,-0.00191268641398046
"207",-2.5,0.9,0.5,0.658710505877508,0.674726025334249,-0.0160155194567416
"208",-2.5,0.1,0.6,0.650536803694329,0.519528063605287,0.131008740089042
"209",-2.5,0.2,0.6,0.652413138799963,0.53248616893348,0.119926969866483
"210",-2.5,0.3,0.6,0.655206011793445,0.549270949757753,0.105935062035692
"211",-2.5,0.4,0.6,0.65835166324254,0.569304594966918,0.0890470682756211
"212",-2.5,0.5,0.6,0.661537187037244,0.59281982275303,0.0687173642842146
"213",-2.5,0.6,0.6,0.665038431386704,0.61581363680557,0.0492247945811339
"214",-2.5,0.7,0.6,0.667329056844674,0.636571162124588,0.0307578947200867
"215",-2.5,0.8,0.6,0.668933932526409,0.654665478942243,0.0142684535841653
"216",-2.5,0.9,0.6,0.66985163687309,0.669958787761015,-0.000107150887925345
"217",-2.5,0.1,0.7,0.68582848229873,0.570091498887897,0.115736983410832
"218",-2.5,0.2,0.7,0.686215416801859,0.578438077896067,0.107777338905793
"219",-2.5,0.3,0.7,0.687544064742836,0.59068912813633,0.0968549366065061
"220",-2.5,0.4,0.7,0.689286020189198,0.605023406993648,0.0842626131955493
"221",-2.5,0.5,0.7,0.691194294085265,0.621224619293557,0.0699696747917085
"222",-2.5,0.6,0.7,0.691973389175664,0.638121665170064,0.0538517240056002
"223",-2.5,0.7,0.7,0.693568642537148,0.654260226454996,0.0393084160821514
"224",-2.5,0.8,0.7,0.693959164211018,0.667761483716236,0.0261976804947821
"225",-2.5,0.9,0.7,0.693776601019651,0.679323803216835,0.0144527978028164
"226",-2.5,0.1,0.8,0.727504064024916,0.642535015044801,0.0849690489801148
"227",-2.5,0.2,0.8,0.728163936240641,0.646985843495432,0.0811780927452093
"228",-2.5,0.3,0.8,0.727965720554809,0.653901668358879,0.0740640521959304
